aircraft_id,date,scheduled_flights,flight_hours,last_maintenance_date,days_since_last_maintenance,max_days_between_maintenance,maintenance_duration_days,maintenance_required,due_status,aircraft_type,base_airport,flight_intensity
TC-1000,2026-01-02,2,7.15,2025-12-07,26,30,3,1,due_soon,A320,AYT,heavy
TC-1000,2026-01-03,5,11.15,2025-12-07,27,30,3,1,due_soon,A320,AYT,heavy
TC-1000,2026-01-04,7,14.43,2025-12-07,28,30,3,1,due_soon,A320,AYT,heavy
TC-1000,2026-01-05,4,8.47,2025-12-07,29,30,3,1,due_soon,A320,AYT,heavy
TC-1000,2026-01-06,5,14.06,2025-12-07,30,30,3,1,due_soon,A320,AYT,heavy
TC-1000,2026-01-07,2,4.36,2025-12-07,31,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-08,4,13.57,2025-12-07,32,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-09,4,8.7,2025-12-07,33,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-10,6,20.6,2025-12-07,34,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-11,2,7.61,2025-12-07,35,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-12,3,7.06,2025-12-07,36,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-13,7,19.82,2025-12-07,37,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-14,2,4.58,2025-12-07,38,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-15,2,7.7,2025-12-07,39,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-16,3,11.75,2025-12-07,40,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-17,3,8.94,2025-12-07,41,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-18,5,14.39,2025-12-07,42,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-19,1,3.79,2025-12-07,43,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-20,2,6.69,2025-12-07,44,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-21,4,15.33,2025-12-07,45,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-22,1,3.11,2025-12-07,46,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-23,6,15.07,2025-12-07,47,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-24,2,5.74,2025-12-07,48,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-25,9,19.7,2025-12-07,49,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-26,4,14.65,2025-12-07,50,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-27,2,7.5,2025-12-07,51,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-28,5,10.14,2025-12-07,52,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-29,3,9.04,2025-12-07,53,30,3,1,overdue,A320,AYT,heavy
TC-1000,2026-01-30,6,13.49,2025-12-07,54,30,3,1,overdue,A320,AYT,heavy
TC-1001,2026-01-01,6,23.1,2025-12-10,22,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-02,1,3.27,2025-12-10,23,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-03,1,2.84,2025-12-10,24,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-04,6,13.31,2025-12-10,25,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-05,7,0.0,2025-12-10,26,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-06,5,17.46,2025-12-10,27,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-07,2,6.38,2025-12-10,28,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-08,3,11.53,2025-12-10,29,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-09,2,4.46,2025-12-10,30,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-10,1,2.35,2025-12-10,31,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-11,3,7.91,2025-12-10,32,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-12,3,7.09,2025-12-10,33,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-13,3,6.3,2025-12-10,34,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-14,3,6.31,2025-12-10,35,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-15,9,27.65,2025-12-10,36,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-16,5,11.4,2025-12-10,37,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-17,3,8.2,2025-12-10,38,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-18,6,15.94,2025-12-10,39,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-19,7,16.83,2025-12-10,40,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-20,4,13.81,2025-12-10,41,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-21,2,7.84,2025-12-10,42,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-22,7,22.63,2025-12-10,43,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-23,4,0.0,2025-12-10,44,20,3,1,overdue,B737-MAX,ESB,heavy
TC-1001,2026-01-24,5,10.88,2025-12-10,45,20,3,1,overdue,B737-MAX,ESB,heavy
