date,day_index,maintenance_capacity
2026-01-01,1,2
2026-01-02,2,2
2026-01-03,3,3
2026-01-04,4,2
2026-01-05,5,1
2026-01-06,6,4
2026-01-07,7,2
2026-01-08,8,2
2026-01-09,9,1
2026-01-10,10,2
2026-01-11,11,1
2026-01-12,12,3
2026-01-13,13,2
2026-01-14,14,3
2026-01-15,15,2
2026-01-16,16,1
2026-01-17,17,2
2026-01-18,18,1
2026-01-19,19,3
2026-01-20,20,2
2026-01-21,21,2
2026-01-22,22,1
2026-01-23,23,4
2026-01-24,24,3
2026-01-25,25,2
2026-01-26,26,1
2026-01-27,27,2
2026-01-28,28,1
2026-01-29,29,1
2026-01-30,30,2
